# sample synthetic data for demonstration purposes only (not real measurement)
# zero_cal_ok=1 zero_cal_mean_mm=5.0002 zero_cal_stddev_mm=0.0009 zero_cal_n=30
elapsed_ms,T1_C,T2_C,T3_C,indicator_mm,disp_mm,spc_valid,fault1,fault2,fault3,cold_junction_1_C,cold_junction_2_C,cold_junction_3_C
0,24.152,24.019,23.897,5.0011,0.0015,1,0,0,0,23.952,24.033,24.420
1000,23.995,23.913,24.005,5.0013,0.0016,1,0,0,0,23.785,23.479,24.137
2000,23.943,23.921,24.073,5.0005,0.0008,1,0,0,0,23.808,24.733,23.759
3000,23.879,23.922,24.034,4.9967,-0.0030,1,0,0,0,23.676,23.860,24.826
4000,23.856,24.009,23.995,4.9994,-0.0002,1,0,0,0,24.114,24.224,24.024
5000,23.873,23.950,23.864,4.9976,-0.0020,1,0,0,0,24.171,23.989,23.827
6000,24.021,24.040,23.935,4.9996,-0.0001,1,0,0,0,23.769,23.759,24.424
7000,24.041,23.772,24.015,5.0010,0.0013,1,0,0,0,24.456,23.723,23.859
8000,23.874,23.931,23.937,4.9999,0.0002,1,0,0,0,23.906,24.476,24.499
9000,24.072,23.910,24.016,5.0016,0.0019,1,0,0,0,24.459,24.287,23.739
10000,23.961,23.979,24.055,5.0004,0.0007,1,0,0,0,23.807,24.583,24.429
11000,24.012,23.957,24.077,4.9980,-0.0017,1,0,0,0,23.392,24.017,24.060
12000,24.129,24.064,23.902,4.9963,-0.0034,1,0,0,0,24.121,24.086,24.387
13000,24.072,23.851,24.176,5.0002,0.0005,1,0,0,0,24.075,23.920,24.571
14000,23.979,24.004,24.061,4.9996,-0.0001,1,0,0,0,24.010,23.914,23.660
15000,23.929,24.045,24.000,4.9984,-0.0013,1,0,0,0,23.807,23.687,24.383
16000,23.828,24.149,24.087,4.9975,-0.0022,1,0,0,0,23.990,24.025,23.577
17000,23.942,23.961,24.189,4.9989,-0.0008,1,0,0,0,23.847,23.763,23.686
18000,23.983,24.026,23.885,4.9994,-0.0002,1,0,0,0,23.909,24.133,23.759
19000,23.921,23.856,23.982,5.0004,0.0007,1,0,0,0,24.252,24.051,24.151
20000,23.989,23.809,23.810,4.9995,-0.0002,1,0,0,0,24.055,24.086,24.010
21000,24.006,24.068,24.015,5.0025,0.0028,1,0,0,0,24.183,24.503,23.950
22000,23.982,24.000,24.029,4.9983,-0.0013,1,0,0,0,23.930,23.989,24.044
23000,23.948,24.094,23.997,5.0013,0.0016,1,0,0,0,23.897,24.227,24.177
24000,24.013,23.890,23.948,4.9997,-0.0000,1,0,0,0,23.654,24.615,24.200
25000,24.035,24.042,23.836,5.0008,0.0011,1,0,0,0,23.889,24.392,24.328
26000,23.913,24.150,24.030,4.9994,-0.0002,1,0,0,0,23.004,24.346,24.546
27000,24.113,24.034,24.116,5.0019,0.0022,1,0,0,0,23.823,23.908,23.994
28000,23.992,24.022,23.953,5.0003,0.0006,1,0,0,0,23.975,24.069,23.844
29000,24.002,24.001,24.035,4.9989,-0.0008,1,0,0,0,24.169,23.605,24.184
30000,24.057,23.874,23.875,4.9995,-0.0002,1,0,0,0,23.919,24.150,23.657
31000,24.019,24.108,24.037,4.9998,0.0002,1,0,0,0,24.104,24.082,23.796
