time_s,axial_node,x_m,truth,without_da,with_da
5,0,0.00375,22.95604721,21.97069795,22.0351258
5,1,0.01125,21.66078347,21.10718879,21.17797152
5,2,0.01875,20.93311777,20.62207833,20.69795363
5,3,0.02625,20.5242661,20.34951054,20.42881833
5,4,0.03375,20.29455739,20.19637141,20.27713261
5,5,0.04125,20.16549566,20.11033025,20.19036151
5,6,0.04875,20.09298297,20.06198846,20.13904278
5,7,0.05625,20.05224188,20.03482774,20.10674714
5,8,0.06375,20.02935173,20.01956765,20.08443225
5,9,0.07125,20.01649099,20.01099384,20.06725159
5,10,0.07875,20.00926547,20.00617691,20.05274084
5,11,0.08625,20.00520614,20.00347085,20.03977481
5,12,0.09375,20.00292586,20.00195089,20.02795972
5,13,0.10125,20.0016448,20.00109702,20.01727272
5,14,0.10875,20.00092461,20.00061684,20.00784701
5,15,0.11625,20.00051939,20.00034646,19.99984501
5,16,0.12375,20.0002916,20.00019444,19.9933866
5,17,0.13125,20.00016402,20.00010945,19.98851351
5,18,0.13875,20.00009239,20.00006172,19.98517888
5,19,0.14625,20.00005172,20.00003448,19.98325579
5,20,0.15375,20.00002897,20.0000193,19.98255571
5,21,0.16125,20.00001648,20.00001106,19.98284932
5,22,0.16875,20.00000915,20.0000061,19.98389012
5,23,0.17625,20.00000504,20.00000333,19.98543801
5,24,0.18375,20.00000299,20.00000204,19.98727498
5,25,0.19125,20.00000151,20.00000099,19.98921632
5,26,0.19875,20.00000083,20.00000054,19.99111922
5,27,0.20625,20.00000064,20.00000046,19.99288179
5,28,0.21375,20.00000023,20.00000011,19.99444041
5,29,0.22125,20.00000034,20.00000026,19.99576588
5,30,0.22875,20.00000008,20.00000002,19.99685313
5,31,0.23625,20.00000012,20.00000009,19.99771698
5,32,0.24375,20.00000002,20,19.99838236
5,33,0.25125,20.00000003,20.00000003,19.99888043
5,34,0.25875,20,19.99999999,19.99924289
5,35,0.26625,20.00000001,20.00000001,19.9994997
5,36,0.27375,19.99999999,19.99999999,19.99967688
5,37,0.28125,20,20,19.99979604
5,38,0.28875,20.00000001,20.00000001,19.99987415
5,39,0.29625,19.99999999,19.99999999,19.99993965
10,0,0.00375,23.18763345,22.12508859,22.33245356
10,1,0.01125,22.72283402,21.81522231,22.0329531
