time_s,G_true0
5,120
10,120
15,120
20,120
25,120
30,120
35,120
40,120
45,120
50,120
55,120
60,120
65,120
70,120
75,120
80,120
85,120
90,120
95,120
100,120
105,120
110,120
115,120
120,120
125,120
130,120
135,120
140,120
145,120
150,120
155,120
160,120
165,120
170,120
175,120
180,120
185,120
190,120
195,120
200,120
205,120
210,120
215,120
220,120
225,120
230,120
235,120
240,120
245,120
250,120
255,120
260,120
265,120
270,120
275,120
280,120
285,120
290,120
295,120
300,120
305,120
310,120
315,120
320,120
325,120
330,120
335,120
340,120
345,120
350,120
355,120
360,120
365,120
370,120
375,120
380,120
385,120
390,120
395,120
400,120
405,120
410,120
415,120
420,120
425,120
430,120
435,120
440,120
445,120
450,120
455,0
460,0
465,0
470,0
475,0
480,0
485,0
490,0
495,0
500,0
505,0
510,0
515,0
520,0
525,0
530,0
535,0
540,0
545,0
550,0
555,0
560,0
565,0
570,0
575,0
580,0
585,0
590,0
595,0
600,0
605,120
610,120
615,120
620,120
625,120
630,120
635,120
640,120
645,120
650,120
655,120
660,120
665,120
670,120
675,120
680,120
685,120
690,120
695,120
700,120
705,120
710,120
715,120
720,120
725,120
730,120
735,120
740,120
745,120
750,120
755,120
760,120
765,120
770,120
775,120
780,120
785,120
790,120
795,120
800,120
805,120
810,120
815,120
820,120
825,120
830,120
835,120
840,120
845,120
850,120
855,120
860,120
865,120
870,120
875,120
880,120
885,120
890,120
895,120
900,120
