time_s,axial_node,x_m,truth,without_da,with_da
5,4,0.03375,20.29455739,20.19637141,20.27713261
5,16,0.12375,20.0002916,20.00019444,19.9933866
5,28,0.21375,20.00000023,20.00000011,19.99444041
5,36,0.27375,19.99999999,19.99999999,19.99967688
10,4,0.03375,20.97867971,20.65245278,20.89709861
10,16,0.12375,20.00293148,20.0019546,20.07906681
10,28,0.21375,20.0000049,20.00000325,20.00053773
10,36,0.27375,20.00000007,20.00000004,19.99967383
15,4,0.03375,21.59469724,21.06313099,21.45515854
15,16,0.12375,20.01380005,20.00920038,20.00213369
15,28,0.21375,20.00003886,20.00002586,19.97506337
15,36,0.27375,20.00000066,20.00000043,19.99816675
20,4,0.03375,22.11277756,21.40851775,22.05191762
20,16,0.12375,20.04128155,20.02752149,20.07964303
20,28,0.21375,20.00019919,20.00013279,19.96342161
20,36,0.27375,20.00000412,20.00000274,19.99601323
25,4,0.03375,22.6287522,21.75250074,22.4567516
25,16,0.12375,20.09072388,20.06048309,20.117868
25,28,0.21375,20.00073888,20.00049257,19.95026406
25,36,0.27375,20.00001938,20.00001291,19.99305876
30,4,0.03375,23.08025126,22.05350002,22.91097792
30,16,0.12375,20.16161986,20.10774715,20.13835243
30,28,0.21375,20.00213663,20.00142444,19.92757103
30,36,0.27375,20.00007144,20.00004762,19.98894927
35,4,0.03375,23.52105903,22.3473718,23.38558951
35,16,0.12375,20.25064433,20.16709683,20.15501713
35,28,0.21375,20.00507222,20.0033815,19.89677541
35,36,0.27375,20.00021507,20.00014338,19.98338398
40,4,0.03375,23.92735646,22.61823668,23.69029762
40,16,0.12375,20.35462617,20.23641809,20.32648356
40,28,0.21375,20.0102999,20.00686666,19.8993325
40,36,0.27375,20.00054626,20.00036418,19.97840018
45,4,0.03375,24.31771788,22.87847757,24.11042511
45,16,0.12375,20.4707674,20.3138456,20.48649809
45,28,0.21375,20.01850007,20.01233345,19.90460791
45,36,0.27375,20.00120398,20.00080266,19.97422965
50,4,0.03375,24.68872235,23.12581382,24.48994835
50,16,0.12375,20.59663767,20.39775914,20.5260449
50,28,0.21375,20.03019633,20.02013099,19.89103242
50,36,0.27375,20.00235831,20.00157222,19.97004444
55,4,0.03375,25.04349194,23.36232683,24.96055545
55,16,0.12375,20.7302996,20.48686711,20.71902052
55,28,0.21375,20.04574115,20.03049422,19.89944881
55,36,0.27375,20.00419043,20.00279364,19.96709071
60,4,0.03375,25.38594992,23.5906321,25.23808926
60,16,0.12375,20.87016272,20.5801092,20.79893946
60,28,0.21375,20.06533481,20.04355668,19.89948433
60,36,0.27375,20.00687228,20.00458154,19.96469304
65,4,0.03375,25.71399834,23.80933101,25.53209213
65,16,0.12375,21.01494138,20.67662832,21.02047916
65,28,0.21375,20.08905194,20.05936811,19.92913346
65,36,0.27375,20.01055216,20.0070348,19.96447557
70,4,0.03375,26.03301351,24.02200774,25.81782286
70,16,0.12375,21.16360101,20.77573475,21.18239157
70,28,0.21375,20.11687006,20.07791355,19.95850491
70,36,0.27375,20.01534689,20.0102313,19.96622379
75,4,0.03375,26.33993384,24.22662128,26.15280404
75,16,0.12375,21.31529477,20.87686393,21.3007366
75,28,0.21375,20.14869425,20.09912969,19.98127086
75,36,0.27375,20.02133956,20.01422642,19.96948252
80,4,0.03375,26.63945114,24.42629943,26.44561516
80,16,0.12375,21.46933731,20.97955897,21.56192534
80,28,0.21375,20.18437777,20.12291872,20.03515706
80,36,0.27375,20.02858082,20.01905393,19.97570015
85,4,0.03375,26.92900679,24.61933651,26.77289357
85,16,0.12375,21.62516495,21.08344406,21.57235155
85,28,0.21375,20.22373816,20.14915899,20.04728631
85,36,0.27375,20.03709241,20.02472833,19.98211434
90,4,0.03375,27.21209454,24.80806164,27.09967768
90,16,0.12375,21.78231517,21.18821088,21.72126502
90,28,0.21375,20.26657005,20.1777136,20.07725563
90,36,0.27375,20.0468715,20.03124773,19.98952364
95,4,0.03375,27.48697543,24.99131555,27.34757592
95,16,0.12375,21.9404059,21.29360469,21.84246176
95,28,0.21375,20.31265461,20.20843664,20.10758027
95,36,0.27375,20.05789542,20.03859701,19.99748178
100,4,0.03375,27.75603558,25.17068896,27.53378812
100,16,0.12375,22.09911961,21.39941384,22.10891337
100,28,0.21375,20.36176695,20.24117822,20.17326391
100,36,0.27375,20.07012592,20.04675068,20.00787532
105,4,0.03375,28.01826287,25.34550712,27.89735345
105,16,0.12375,22.25819215,21.5054622,22.26681254
105,28,0.21375,20.4136814,20.27578786,20.22240205
105,36,0.27375,20.08351317,20.05567552,20.01958754
110,4,0.03375,28.27519274,25.51679368,28.11294528
110,16,0.12375,22.41740185,21.611602,22.40232799
110,28,0.21375,20.46817555,20.3121173,20.27292839
110,36,0.27375,20.09799908,20.0653328,20.03270184
115,4,0.03375,28.52634458,25.68422822,28.29788652
115,16,0.12375,22.5765626,21.71770916,22.54061584
115,28,0.21375,20.52503297,20.35002225,20.32713869
115,36,0.27375,20.11352009,20.07568014,20.04708389
120,4,0.03375,28.77265937,25.84843807,28.58830669
120,16,0.12375,22.73551702,21.82367877,22.78833238
120,28,0.21375,20.58404526,20.38936379,20.40110263
120,36,0.27375,20.13000942,20.08667304,20.06354943
125,4,0.03375,29.01400351,26.00933414,28.87727464
125,16,0.12375,22.89413176,21.92942193,22.80607079
125,28,0.21375,20.64501329,20.43000914,20.43495916
125,36,0.27375,20.14739889,20.09826602,20.07954692
130,4,0.03375,29.25092765,26.16728355,29.11141405
130,16,0.12375,23.05229329,22.03486295,23.03298544
130,28,0.21375,20.70774804,20.47183232,20.50313196
130,36,0.27375,20.16562029,20.11041362,20.09690618
135,4,0.03375,29.4835036,26.32233417,29.29127266
135,16,0.12375,23.20990461,22.13993716,23.2405274
135,28,0.21375,20.77207101,20.5147143,20.57869559
135,36,0.27375,20.18460644,20.12307105,20.1156709
140,4,0.03375,29.71203824,26.47469058,29.60354762
140,16,0.12375,23.36688266,22.24458919,23.41342286
140,28,0.21375,20.83781438,20.55854322,20.64752233
140,36,0.27375,20.20429197,20.13619474,20.13543789
145,4,0.03375,29.93671112,26.62447249,29.73850742
145,16,0.12375,23.52315602,22.34877143,23.50775333
145,28,0.21375,20.90482089,20.60321423,20.70837727
145,36,0.27375,20.22461391,20.14974271,20.15565902
150,4,0.03375,30.15768403,26.77178774,30.01455251
150,16,0.12375,23.67866323,22.4524429,23.72740474
150,28,0.21375,20.97294371,20.64862945,20.78652391
150,36,0.27375,20.24551205,20.1636748,20.17711434
155,4,0.03375,30.37518176,26.91678622,30.19407724
155,16,0.12375,23.83335121,22.55556821,23.82412873
155,28,0.21375,21.04204603,20.69469766,20.84860965
155,36,0.27375,20.26692916,20.17795288,20.19865414
160,4,0.03375,30.58928429,27.05952123,30.38004993
160,16,0.12375,23.98717415,22.65811683,23.92735398
160,28,0.21375,21.11200071,20.74133412,20.90852631
160,36,0.27375,20.28881118,20.19254089,20.22009895
165,4,0.03375,30.80022445,27.20014799,30.67898394
165,16,0.12375,24.14009239,22.76006233,24.20791534
165,28,0.21375,21.1826898,20.78846018,20.99721333
165,36,0.27375,20.31110723,20.20740493,20.24290991
170,4,0.03375,31.00803928,27.3386912,30.84359139
170,16,0.12375,24.2920717,22.86138186,24.34223936
170,28,0.21375,21.25400411,20.83600305,21.07129004
170,36,0.27375,20.33376962,20.22251318,20.26615864
175,4,0.03375,31.21294928,27.47529785,31.07616672
175,16,0.12375,24.44308246,22.9620557,24.41088874
175,28,0.21375,21.32584264,20.88389541,21.12808885
175,36,0.27375,20.35675377,20.23783595,20.28893104
180,4,0.03375,31.4149714,27.60997925,31.27195719
180,16,0.12375,24.59309914,23.06206681,24.66995064
180,28,0.21375,21.39811222,20.93207513,21.21880216
180,36,0.27375,20.38001815,20.25334554,20.31301574
185,4,0.03375,31.61430415,27.74286775,31.45119863
185,16,0.12375,24.74209976,23.16140056,24.82037861
185,28,0.21375,21.47072686,20.98048489,21.29802367
185,36,0.27375,20.40352415,20.26901621,20.33758038
190,4,0.03375,31.81095705,27.87396967,31.52004775
190,16,0.12375,24.89006551,23.26004439,24.93114252
190,28,0.21375,21.54360744,21.02907194,21.37491314
190,36,0.27375,20.42723593,20.28482406,20.36257126
195,4,0.03375,32.00510335,28.00340053,31.85063779
195,16,0.12375,25.03698032,23.35798759,25.02210447
195,28,0.21375,21.61668112,21.07778772,21.43450491
195,36,0.27375,20.45112031,20.30074698,20.38689035
200,4,0.03375,32.19675162,28.13116603,32.04797183
200,16,0.12375,25.18283059,23.4552211,25.08344675
200,28,0.21375,21.68988102,21.12658766,21.48536913
200,36,0.27375,20.47514661,20.31676452,20.40995801
205,4,0.03375,32.38605018,28.25736506,32.21721346
205,16,0.12375,25.3276049,23.5517373,25.34546815
205,28,0.21375,21.76314572,21.17543079,21.57340664
205,36,0.27375,20.49928652,20.33285779,20.4337715
210,4,0.03375,32.57300952,28.38200461,32.49163777
210,16,0.12375,25.47129382,23.64752991,25.44538892
210,28,0.21375,21.8364189,21.22427958,21.634343
210,36,0.27375,20.52351392,20.34900939,20.45680658
215,4,0.03375,32.75775515,28.50516836,32.5628823
215,16,0.12375,25.61388961,23.74259377,25.58881872
215,28,0.21375,21.90964899,21.27309964,21.70844812
215,36,0.27375,20.54780478,20.36520329,20.48011103
220,4,0.03375,32.94030042,28.6268652,32.82935083
220,16,0.12375,25.75538616,23.83692479,25.77182034
220,28,0.21375,21.98278879,21.3218595,21.78519699
220,36,0.27375,20.57213697,20.38142475,20.50377553
225,4,0.03375,33.12075085,28.74716547,32.93596132
