axial_node,x_m,rmse_frontistr_only,rmse_oi_da
0,0.00375,7.528686767,1.11858849
1,0.01125,7.235121908,0.824319672
2,0.01875,6.952367535,0.5636082891
3,0.02625,6.679753686,0.3387735045
4,0.03375,6.416711843,0.1535240565
5,0.04125,6.162706821,0.04986227104
6,0.04875,5.917221177,0.1331789848
7,0.05625,5.679753367,0.2109704397
8,0.06375,5.449816565,0.2589596336
9,0.07125,5.226938265,0.2788786313
10,0.07875,5.010660568,0.2745773955
11,0.08625,4.800540614,0.250666537
12,0.09375,4.59615123,0.2120986727
13,0.10125,4.397081514,0.1639435418
14,0.10875,4.202937452,0.1114802356
15,0.11625,4.013342447,0.06204997925
16,0.12375,3.827937735,0.04029746372
17,0.13125,3.646382743,0.06970958157
18,0.13875,3.468355236,0.1088613587
19,0.14625,3.29355132,0.1436420902
20,0.15375,3.121685365,0.1715281023
21,0.16125,2.952489785,0.1920407241
22,0.16875,2.785714648,0.2054510141
23,0.17625,2.621127174,0.2124194275
24,0.18375,2.458511184,0.2138101634
25,0.19125,2.297666415,0.2105651457
26,0.19875,2.13840773,0.203613869
27,0.20625,1.98056433,0.1938121165
28,0.21375,1.823978852,0.1819053044
29,0.22125,1.668506457,0.1685120506
30,0.22875,1.514013925,0.1541231172
31,0.23625,1.360378622,0.1391109024
32,0.24375,1.207487592,0.1237451592
33,0.25125,1.055236504,0.1082113023
34,0.25875,0.9035287244,0.0926287537
35,0.26625,0.7522742902,0.07706753074
36,0.27375,0.6013889676,0.06156225653
37,0.28125,0.4507932612,0.04612322815
38,0.28875,0.3004114671,0.03074473202
39,0.29625,0.07508535435,0.007755660299
