time_s,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9
10,20.1787,20.019,20.002,20.0002,20,20,20,20,20,20
20,20.3402,20.0516,20.0071,20.0009,20.0001,20,20,20,20,20
30,20.4877,20.0937,20.0157,20.0024,20.0003,20,20,20,20,20
40,20.6236,20.1426,20.0279,20.0049,20.0008,20.0001,20,20,20,20
50,20.7498,20.1961,20.0436,20.0086,20.0016,20.0002,20,20,20,20
60,20.8678,20.2527,20.0625,20.0137,20.0027,20.0005,20,20,20,20
70,20.9788,20.3114,20.0842,20.0201,20.0043,20.0009,20.0001,20,20,20
80,21.0838,20.3713,20.1085,20.028,20.0065,20.0014,20.0002,20,20,20
90,21.1836,20.4319,20.1351,20.0373,20.0093,20.0021,20.0004,20,20,20
100,21.2788,20.4928,20.1636,20.048,20.0127,20.0031,20.0006,20.0001,20,20
110,21.37,20.5537,20.1938,20.0601,20.0168,20.0043,20.0009,20.0002,20,20
120,21.4576,20.6143,20.2254,20.0734,20.0216,20.0058,20.0014,20.0003,20,20
130,21.5419,20.6745,20.2582,20.088,20.0271,20.0076,20.002,20.0004,20,20
140,21.6233,20.7341,20.292,20.1037,20.0333,20.0098,20.0027,20.0006,20.0001,20
150,21.7021,20.7931,20.3267,20.1205,20.0403,20.0123,20.0035,20.0009,20.0002,20
160,21.7785,20.8515,20.3621,20.1383,20.048,20.0152,20.0045,20.0012,20.0003,20
170,21.8527,20.9092,20.3981,20.157,20.0564,20.0185,20.0057,20.0016,20.0004,20
180,21.9249,20.9662,20.4346,20.1766,20.0655,20.0222,20.0071,20.0021,20.0005,20.0001
190,21.9952,21.0224,20.4715,20.197,20.0752,20.0264,20.0087,20.0026,20.0007,20.0001
200,22.0638,21.0779,20.5087,20.2181,20.0856,20.031,20.0105,20.0033,20.0009,20.0002
210,22.1307,21.1327,20.5461,20.2398,20.0966,20.036,20.0125,20.004,20.0012,20.0003
220,22.1961,21.1868,20.5837,20.2621,20.1082,20.0414,20.0147,20.0049,20.0015,20.0004
230,22.2601,21.2403,20.6214,20.285,20.1204,20.0472,20.0172,20.0059,20.0019,20.0005
240,22.3228,21.2931,20.6592,20.3084,20.1331,20.0534,20.0199,20.007,20.0023,20.0006
250,22.3843,21.3452,20.697,20.3322,20.1464,20.06,20.0229,20.0082,20.0028,20.0007
260,22.4446,21.3967,20.7348,20.3565,20.1602,20.067,20.0261,20.0096,20.0033,20.0008
270,22.5038,21.4475,20.7726,20.3811,20.1744,20.0744,20.0296,20.0111,20.0039,20.0009
280,22.5619,21.4977,20.8103,20.4061,20.1891,20.0822,20.0334,20.0128,20.0045,20.0011
290,22.619,21.5473,20.848,20.4314,20.2042,20.0903,20.0374,20.0146,20.0052,20.0013
300,22.6752,21.5964,20.8856,20.4569,20.2197,20.0988,20.0417,20.0165,20.006,20.0015
