time_s,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9
10,20.3574,20.038,20.0041,20.0004,20,20,20,20,20,20
20,20.6804,20.1031,20.0143,20.0018,20.0002,20,20,20,20,20
30,20.9753,20.1874,20.0315,20.0048,20.0007,20.0001,20,20,20,20
40,21.247,20.2851,20.0559,20.0098,20.0016,20.0003,20,20,20,20
50,21.4994,20.3921,20.0872,20.0172,20.0031,20.0006,20.0001,20,20,20
60,21.7354,20.5054,20.1249,20.0273,20.0054,20.0011,20.0002,20,20,20
70,21.9574,20.6228,20.1684,20.0402,20.0087,20.0018,20.0004,20,20,20
80,22.1674,20.7427,20.217,20.056,20.0131,20.0029,20.0006,20.0001,20,20
90,22.367,20.8639,20.2701,20.0746,20.0187,20.0044,20.001,20.0002,20,20
100,22.5574,20.9857,20.3271,20.096,20.0255,20.0063,20.0015,20.0003,20,20
110,22.7397,21.1074,20.3874,20.1201,20.0337,20.0087,20.0022,20.0005,20,20
120,22.9149,21.2285,20.4506,20.1468,20.0433,20.0117,20.003,20.0007,20.0001,20
130,23.0836,21.3488,20.5162,20.176,20.0543,20.0154,20.0041,20.001,20.0002,20
140,23.2465,21.468,20.5839,20.2074,20.0668,20.0198,20.0055,20.0014,20.0003,20
150,23.4041,21.586,20.6533,20.241,20.0807,20.0249,20.0072,20.0019,20.0004,20
160,23.5569,21.7027,20.7241,20.2766,20.0961,20.0307,20.0092,20.0025,20.0006,20.0001
170,23.7053,21.8181,20.7961,20.314,20.1129,20.0373,20.0115,20.0033,20.0008,20.0002
180,23.8496,21.932,20.869,20.3532,20.131,20.0447,20.0142,20.0042,20.0011,20.0002
190,23.9902,22.0445,20.9427,20.3939,20.1505,20.053,20.0173,20.0053,20.0015,20.0003
200,24.1273,22.1556,21.017,20.4361,20.1712,20.0621,20.0209,20.0066,20.0019,20.0004
210,24.2612,22.2653,21.0918,20.4796,20.1932,20.072,20.0249,20.0081,20.0024,20.0005
220,24.3921,22.3736,21.167,20.5243,20.2164,20.0827,20.0294,20.0098,20.003,20.0006
230,24.5201,22.4805,21.2424,20.57,20.2408,20.0943,20.0344,20.0117,20.0037,20.0008
240,24.6455,22.586,21.318,20.6168,20.2663,20.1067,20.0398,20.0139,20.0045,20.001
250,24.7684,22.6902,21.3937,20.6645,20.2928,20.1199,20.0458,20.0164,20.0054,20.0012
260,24.889,22.7931,21.4694,20.713,20.3203,20.1339,20.0523,20.0191,20.0064,20.0015
270,25.0073,22.8948,21.545,20.7622,20.3488,20.1487,20.0593,20.0221,20.0076,20.0018
280,25.1235,22.9953,21.6205,20.8121,20.3781,20.1642,20.0668,20.0254,20.0089,20.0021
290,25.2377,23.0946,21.6959,20.8626,20.4083,20.1805,20.0748,20.029,20.0103,20.0025
300,25.3501,23.1927,21.7711,20.9137,20.4393,20.1975,20.0833,20.0329,20.0119,20.0029
310,25.4606,23.2897,21.8461,20.9653,20.4711,20.2152,20.0923,20.0371,20.0137,20.0034
320,25.5694,23.3856,21.9209,21.0173,20.5036,20.2336,20.1018,20.0417,20.0156,20.0039
330,25.6766,23.4804,21.9955,21.0697,20.5368,20.2527,20.1119,20.0466,20.0177,20.0045
340,25.7822,23.5742,22.0698,21.1224,20.5706,20.2725,20.1225,20.0518,20.02,20.0051
