time_s,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9
10,20.1787,20.019,20.002,20.0002,20,20,20,20,20,20
20,20.5395,20.2196,20.1119,20.0405,19.9968,19.9805,19.9818,19.9889,19.995,19.9984
30,20.8548,20.4201,20.2549,20.1495,20.0803,20.0407,20.0196,20.0086,20.0032,20.001
40,21.0894,20.5336,20.2756,20.1032,19.9976,19.9565,19.9575,19.9736,19.9878,19.9962
50,21.4388,20.7854,20.439,20.2006,20.0509,19.9833,19.9695,19.9779,19.9889,19.9966
60,21.5796,20.8569,20.4652,20.204,20.0422,19.97,19.9574,19.9698,19.9848,19.9953
70,21.805,21.0012,20.524,20.1974,19.9979,19.9168,19.9149,19.9442,19.9728,19.9916
80,22.0513,21.1652,20.589,20.1808,19.9338,19.8424,19.8559,19.9085,19.9559,19.9864
90,22.1592,21.2449,20.6567,20.2517,20.004,19.8988,19.8908,19.9245,19.9611,19.9881
100,22.3882,21.4276,20.7829,20.3333,20.0546,19.9277,19.9045,19.929,19.9616,19.9881
110,22.5755,21.5518,20.8233,20.3009,19.9799,19.8463,19.8414,19.8912,19.9437,19.9824
120,22.8702,21.7998,21.0013,20.416,20.0493,19.8845,19.8589,19.8965,19.944,19.9824
130,22.9702,21.8601,21.0152,20.3913,20.0015,19.8324,19.817,19.87,19.9307,19.9782
140,23.1064,21.9814,21.1226,20.4899,20.088,19.8977,19.8564,19.8879,19.9365,19.9799
150,23.2356,22.086,21.1961,20.5367,20.1146,19.9098,19.8593,19.8864,19.9342,19.9789
160,23.4154,22.226,21.2753,20.5585,20.0982,19.8787,19.8307,19.8672,19.9242,19.9756
170,23.5674,22.3718,21.4145,20.6923,20.219,19.9728,19.8903,19.8967,19.9353,19.9788
180,23.7374,22.4832,21.4345,20.6232,20.0969,19.8468,19.7954,19.8414,19.9099,19.9706
190,23.9192,22.6333,21.5337,20.6721,20.1091,19.8393,19.7817,19.8294,19.9024,19.9682
200,24.0258,22.7144,21.5788,20.6819,20.0935,19.8125,19.7558,19.8108,19.892,19.9648
210,24.0876,22.7877,21.6761,20.8026,20.2185,19.9159,19.8225,19.8435,19.9039,19.9684
220,24.3201,22.9854,21.8111,20.8732,20.2423,19.9149,19.8134,19.8347,19.8983,19.9663
230,24.406,23.0539,21.856,20.8936,20.243,19.9045,19.8004,19.8242,19.892,19.9641
240,24.4643,23.1005,21.8884,20.9111,20.247,19.8993,19.7916,19.816,19.8867,19.9622
250,24.6398,23.2697,22.0423,21.047,20.3604,19.9832,19.843,19.8407,19.8956,19.9647
260,24.7962,23.3764,22.0677,20.9898,20.252,19.869,19.756,19.7896,19.8719,19.957
270,24.9157,23.4943,22.1825,21.0987,20.347,19.9399,19.7986,19.809,19.8782,19.9588
280,24.9843,23.5656,22.2607,21.1813,20.4238,19.9991,19.8351,19.8262,19.8841,19.9603
290,25.1828,23.7411,22.3926,21.2661,20.4708,20.0214,19.8435,19.8279,19.8835,19.9598
300,25.2019,23.7482,22.3873,21.2468,20.4401,19.9882,19.8166,19.8109,19.8749,19.9568
310,25.3717,23.9098,22.5298,21.3665,20.535,20.0558,19.8571,19.8302,19.8819,19.9587
320,25.4393,23.9598,22.554,21.3628,20.5106,20.0245,19.8308,19.8136,19.8736,19.9558
330,25.5146,24.0183,22.5866,21.3675,20.4943,19.9996,19.8084,19.7986,19.8657,19.9532
340,25.7177,24.2218,22.7815,21.549,20.6532,20.122,19.8867,19.8386,19.8816,19.958
350,25.7781,24.2742,22.824,21.5789,20.6698,20.1285,19.8877,19.8377,19.8805,19.9573
360,25.8999,24.3663,22.8666,21.5695,20.6253,20.0749,19.845,19.8122,19.8686,19.9533
370,26.0041,24.4822,22.9992,21.7149,20.7664,20.1895,19.9204,19.8515,19.8846,19.9581
380,26.0847,24.5564,23.0636,21.7664,20.8035,20.2132,19.9337,19.8578,19.887,19.9585
390,26.0558,24.53,23.0488,21.7615,20.802,20.2113,19.9316,19.8562,19.8861,19.958
400,26.2845,24.7197,23.1643,21.7994,20.7869,20.1763,19.9004,19.8372,19.8773,19.9551
410,26.3788,24.7886,23.1922,21.7842,20.7424,20.1249,19.8596,19.8126,19.8658,19.9515
420,26.4618,24.8887,23.3187,21.9334,20.8933,20.2501,19.9428,19.8562,19.8837,19.957
430,26.6378,25.0356,23.4128,21.971,20.8905,20.2301,19.9232,19.8438,19.8779,19.955
440,26.6187,25.0253,23.424,22.0016,20.9279,20.2618,19.9437,19.8541,19.8819,19.9561
450,26.7962,25.1912,23.5633,22.1103,21.0083,20.3168,19.9769,19.8709,19.8888,19.958
460,26.8166,25.2165,23.6007,22.1572,21.0552,20.3546,20.0018,19.8843,19.8946,19.9596
470,26.9378,25.3309,23.7001,22.2382,21.1172,20.3983,20.0291,19.899,19.901,19.9614
480,26.986,25.3653,23.7145,22.2305,21.0935,20.3708,20.0081,19.8874,19.8962,19.9597
490,27.0878,25.4472,23.7622,22.2416,21.0786,20.3467,19.9877,19.8754,19.8909,19.958
500,27.2111,25.5762,23.8958,22.3761,21.2028,20.4458,20.0532,19.9105,19.906,19.9626
510,27.2825,25.6385,23.9439,22.4073,21.219,20.4524,20.0557,19.9119,19.9069,19.9628
520,27.2983,25.6568,23.9698,22.4387,21.2494,20.4764,20.0716,19.9209,19.9112,19.964
530,27.4351,25.7764,24.0564,22.4894,21.2725,20.4843,20.0737,19.9219,19.9119,19.9641
540,27.5295,25.8757,24.1612,22.5964,21.372,20.5642,20.1273,19.9515,19.9251,19.9681
550,27.7127,26.036,24.2772,22.6644,21.4038,20.5762,20.1319,19.9542,19.9269,19.9685
560,27.715,26.0417,24.2944,22.6908,21.4317,20.5992,20.1478,19.9638,19.9318,19.97
570,27.69,26.0279,24.3045,22.7231,21.4736,20.6375,20.1755,19.9802,19.9398,19.9724
580,27.8714,26.2147,24.49,22.9029,21.6373,20.7693,20.2651,20.0304,19.9626,19.9794
590,27.9365,26.2551,24.492,22.8645,21.5743,20.7068,20.2214,20.0084,19.9546,19.9768
600,28.0219,26.3199,24.5227,22.8592,21.545,20.6722,20.1957,19.9952,19.9498,19.9753
610,27.9824,26.4456,24.6685,23.0061,21.6807,20.7815,20.2695,20.0363,19.9684,19.9812
620,27.7046,26.3042,24.5797,22.9467,21.6388,20.7525,20.2525,20.0292,19.9667,19.9807
630,27.506,26.2215,24.5529,22.949,21.6545,20.7705,20.2671,20.039,19.9721,19.9824
640,27.2676,26.13,24.6003,23.1069,21.8668,20.9708,20.4118,20.1215,20.0095,19.994
650,27.004,25.9407,24.4607,22.9927,21.771,20.8986,20.3681,20.102,20.0037,19.992
660,26.8921,25.8992,24.4685,23.0253,21.8132,20.9391,20.3998,20.1227,20.0148,19.9955
670,26.6609,25.7531,24.4177,23.0486,21.8772,21.0102,20.4563,20.1581,20.0326,20.0011
680,26.5466,25.6986,24.4199,23.088,21.9341,21.0671,20.5015,20.1876,20.0482,20.006
690,26.4268,25.6406,24.4311,23.1509,22.0223,21.1538,20.5685,20.2298,20.0696,20.0127
700,26.3119,25.5526,24.3637,23.09,21.9667,21.1118,20.5456,20.2228,20.07,20.0129
710,26.2778,25.5393,24.3607,23.0844,21.9576,21.1051,20.5451,20.2271,20.0748,20.0146
720,26.1483,25.4762,24.3913,23.197,22.1123,21.2541,20.6561,20.2934,20.1067,20.0247
