time_s,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9
10,20.38217787,20.19136871,20.10701603,20.03683973,19.99309653,19.97818748,19.98103379,19.98906545,19.99532178,19.99846687
20,20.71273845,20.38420799,20.2469396,20.14465496,20.07633562,20.03819491,20.01829385,20.00781166,20.00278815,20.00091705
30,20.96355806,20.49392043,20.26423899,20.09426652,19.98902314,19.95083446,19.95548143,19.97381609,19.98862879,19.99626093
40,21.32589534,20.7444727,20.42457771,20.18883062,20.0399688,19.97614373,19.96651388,19.97754123,19.98930745,19.99667322
50,21.47591499,20.81278389,20.44778823,20.19070691,20.03023527,19.96199405,19.95408059,19.96949377,19.98537233,19.99545193
60,21.7121893,20.95760211,20.503945,20.18041023,19.98213559,19.90617147,19.91079514,19.94431543,19.97409382,19.99181434
70,21.96944833,21.12393829,20.56653255,20.15931225,19.91306629,19.82840474,19.85072602,19.90917654,19.95809675,19.98681422
80,22.08114762,21.20139348,20.6322833,20.23075123,19.98497229,19.88579656,19.88528028,19.92413836,19.96240558,19.98851045
90,22.31631515,21.38546571,20.75688152,20.31052086,20.03440978,19.91387016,19.89818255,19.92786578,19.96241323,19.98851561
100,22.51195996,21.512478,20.79576305,20.27402272,19.95491776,19.82917554,19.83411642,19.89080087,19.94559565,19.98289452
110,22.81291689,21.76348904,20.97284453,20.38684238,20.02240825,19.86599737,19.85043319,19.89514811,19.94520979,19.98287391
120,22.91825985,21.82471158,20.98572512,20.36009047,19.97208628,19.81185947,19.80783725,19.86894406,19.93247862,19.97865545
130,23.05635872,21.94589163,21.09239183,20.45913963,20.05983292,19.87785975,19.84672219,19.88560948,19.93716104,19.98029211
140,23.18892688,22.05139083,21.1654002,20.5050924,20.08558874,19.88920028,19.84894719,19.88359357,19.93465616,19.97929558
150,23.37402704,22.19411344,21.2441601,20.52423831,20.06613433,19.85587909,19.81942155,19.86449947,19.92498537,19.97589828
160,23.52678662,22.34006436,21.38315,20.65908442,20.18869257,19.95093511,19.87841869,19.89236238,19.93463103,19.97897951
170,23.70458024,22.45575492,21.40287777,20.58521391,20.06006468,19.8203361,19.78242755,19.83835244,19.91088394,19.97086214
180,23.89068284,22.60850561,21.50200223,20.63224089,20.06997131,19.81096709,19.76772105,19.82598367,19.90338137,19.96847271
190,24.00061798,22.69102297,21.54697755,20.6408027,20.05253562,19.78253197,19.74095196,19.8072481,19.89311341,19.96517884
200,24.06088412,22.76266488,21.64429866,20.76399402,20.18101964,19.88794858,19.80720312,19.83822512,19.90341885,19.96850553
210,24.29806314,22.96398369,21.77960412,20.83231569,20.2017812,19.88478613,19.79697942,19.82902532,19.89774115,19.9663856
220,24.38629729,23.03338741,21.82459264,20.85206636,20.20135893,19.87325265,19.78338131,19.81835748,19.8914453,19.96406957
230,24.44616107,23.08022436,21.85705842,20.86938216,20.20482013,19.86732044,19.7739655,19.80987708,19.8860027,19.96214978
240,24.62242608,23.25065325,22.01141608,21.00577986,20.31914175,19.9515551,19.82462952,19.83311137,19.89374597,19.96447709
250,24.78553372,23.36163719,22.03697444,20.94446361,20.20469763,19.83296501,19.73650165,19.78305686,19.87147282,19.95685535
260,24.90517524,23.47973816,22.15211451,21.05446806,20.30103618,19.90440395,19.77834282,19.80116741,19.87666192,19.95853879
270,24.9734388,23.55038912,22.23064253,21.13842669,20.37937686,19.96436908,19.81437983,19.81724204,19.88160446,19.95990153
280,25.17499605,23.72867567,22.36304098,21.22190876,20.42467106,19.98521237,19.82184948,19.81837781,19.88072732,19.95919169
290,25.19573248,23.73585417,22.35787204,21.2022284,20.39286193,19.95081416,19.79453054,19.80159864,19.87252217,19.95623437
300,25.3666184,23.89893138,22.50092461,21.32221033,20.48806999,20.01836503,19.83425547,19.81974447,19.87849402,19.95795571
310,25.43662012,23.94996118,22.52539813,21.31757799,20.46184024,19.98548264,19.80731677,19.80326648,19.8706285,19.95503543
320,25.51405954,24.00969795,22.55825833,21.32137721,20.44381143,19.95911481,19.78423204,19.78835312,19.86302633,19.95236135
330,25.71717319,24.21439473,22.75374027,21.50405666,20.60458855,20.08249837,19.86172645,19.82642512,19.87718905,19.95691679
340,25.77858103,24.26702925,22.7967091,21.5340407,20.62078815,20.08837727,19.86232236,19.82530169,19.87601812,19.95618325
350,25.90434236,24.36175425,22.8396095,21.5224126,20.5727763,20.03215845,19.81877545,19.80027371,19.86481656,19.95219856
360,26.00704297,24.47696674,22.97276387,21.6701262,20.71688002,20.14843245,19.89369572,19.83790216,19.87925862,19.9567537
370,26.08848434,24.55165569,23.0375702,21.72181071,20.75383897,20.17179465,19.90655744,19.843761,19.88132336,19.95703019
380,26.05921801,24.52403618,23.0229058,21.71777208,20.75280849,20.16989699,19.9043004,19.84213483,19.88048072,19.9563848
390,26.29318255,24.71840724,23.13890369,21.75242188,20.73327817,20.13168214,19.87208286,19.82339826,19.87228135,19.95349644
400,26.39085408,24.78942476,23.16713585,21.7353193,20.68585422,20.07789662,19.8304345,19.79929059,19.86142653,19.94993822
410,26.47149393,24.88827296,23.2940913,21.88731649,20.84043144,20.20530415,19.9133165,19.84104825,19.87761236,19.95532934
420,26.65143879,25.03840059,23.38860361,21.92282528,20.83451039,20.18302238,19.89285613,19.82871041,19.87212461,19.95322816
430,26.63117654,25.02639188,23.40018855,21.95510815,20.8735167,20.2154449,19.91321181,19.83847027,19.87568078,19.95427983
440,26.8102169,25.19425425,23.54001056,22.0635361,20.95353764,20.26996344,19.94565416,19.85442598,19.88192547,19.95609508
450,26.8299022,25.21860188,23.57776094,22.11167905,21.00166654,20.3082851,19.97037502,19.86727495,19.88726854,19.95750038
460,26.95211585,25.33402169,23.67760296,22.19273463,21.06363505,20.35170991,19.99720083,19.88132374,19.89328041,19.95916217
470,27.00207613,25.36929891,23.69225634,22.18419022,21.0382417,20.32285462,19.9757896,19.87017798,19.88894118,19.95747982
480,27.10655771,25.45315625,23.74025367,22.19390008,21.02114934,20.29692631,19.95479282,19.85836764,19.88402097,19.95573691
490,27.22906867,25.58224216,23.87439234,22.32984896,21.14733872,20.39721293,20.01985098,19.8921039,19.89778573,19.96022622
500,27.3017285,25.64525036,23.9228395,22.36086509,21.16278544,20.40310106,20.02198595,19.89342458,19.89882551,19.96026405
510,27.3171207,25.66282109,23.94897352,22.39307649,21.19387617,20.42730432,20.03771271,19.90212652,19.90280348,19.96146739
520,27.45621829,25.78458737,24.03600188,22.44267112,21.2154018,20.43389821,20.03922886,19.90295071,19.9036222,19.96152845
530,27.55000489,25.88374934,24.14128888,22.55100101,21.31649449,20.51474618,20.09250684,19.93154942,19.9158585,19.9653775
540,27.7362498,26.04688074,24.25778563,22.61744908,21.34604415,20.52512389,20.09635495,19.93413125,19.91773617,19.96569457
550,27.73806923,26.05160539,24.27525333,22.64492024,21.37478689,20.54834304,20.11218457,19.94353492,19.92243693,19.967049
560,27.71166188,26.0360845,24.28555304,22.6788078,21.41847792,20.58765066,20.13989237,19.95957328,19.93003895,19.96942838
570,27.89225852,26.22382,24.47171254,22.85997524,21.58433852,20.72082434,20.22912652,20.00818717,19.95135683,19.97613882
580,27.96065213,26.26598231,24.47390187,22.81957834,21.51791457,20.65583627,20.18506797,19.98715834,19.9445123,19.97352039
590,28.04882925,26.3326132,24.5048881,22.81263737,21.48609536,20.61940302,20.15891669,19.97447929,19.94038678,19.97217693
600,28.18729736,26.47767317,24.65320076,22.96115633,21.62388067,20.72991311,20.2323571,20.01422873,19.9576415,19.97783491
610,27.8913736,26.3473486,24.56749224,22.90332042,21.58265488,20.70095539,20.21565451,20.00777631,19.95655521,19.97736001
620,27.67724596,26.27268479,24.54426097,22.90768257,21.59981743,20.71979593,20.23045214,20.01748317,19.96182866,19.97912006
630,27.41927377,26.18221877,24.59550281,23.07307159,21.82097236,20.92581361,20.37596981,20.09769213,19.99663067,19.99037161
640,27.1458022,25.99619552,24.45916857,22.95981725,21.72442074,20.85303568,20.33285547,20.07963661,19.99210894,19.98836114
650,27.02447666,25.95759085,24.47010485,22.99452718,21.76812781,20.89446066,20.36484936,20.10018017,20.00292913,19.99174827
660,26.78199888,25.81004639,24.42219087,23.02228673,21.83661731,20.96847671,20.42219278,20.13511969,20.02004381,19.99721036
670,26.65968587,25.75596672,24.42702775,23.06429787,21.89587429,21.02696774,20.46789704,20.16432177,20.03519582,20.001943
680,26.53163507,25.6970179,24.44052987,23.13064077,21.98768099,21.11609359,20.53560476,20.20594002,20.0558583,20.00848785
690,26.4131377,25.60982723,24.37498441,23.06998857,21.93092226,21.07325907,20.51317027,20.20018909,20.0572571,20.00869294
700,26.3762559,25.59803473,24.3737051,23.06447795,21.92107216,21.06610942,20.51282591,20.20498724,20.06253312,20.01047091
710,26.23788906,25.53123864,24.40590093,23.18242265,22.08212038,21.21935418,20.6247294,20.26993988,20.09269165,20.02041255
720,26.04375337,25.37572058,24.30688956,23.12948129,22.05884282,21.21440794,20.63071226,20.28018351,20.10124769,20.02293672
730,26.04057231,25.39949135,24.35218633,23.18698688,22.12008505,21.27092206,20.67538497,20.31019722,20.11769663,20.02826745
