of_case,of_time,of_time_s,n_solid_cells,solid_T_min_K,solid_T_max_K,node_T_min_K,node_T_max_K,coordinate_translation_x_m,coordinate_translation_y_m,coordinate_translation_z_m,reference_temperature_K,top_face_mean_Uz_mm,top_face_max_Uz_mm,top_face_mean_Ux_mm,top_face_ux_spread_mm,max_displacement_magnitude_mm
/mnt/d/work/002_cae/openfoam/20260505_datadoka/sample/101_0_openfoam_cht_radiation_box,0,0.0,128,293.15,293.15,293.1499999999999,293.15000000000003,-0.4,-0.4,0.0,293.15,0.0,0.0,0.0,0.0,0.0
/mnt/d/work/002_cae/openfoam/20260505_datadoka/sample/101_0_openfoam_cht_radiation_box,5,5.0,128,293.14993,293.17689,293.14994220789004,293.16778834412344,-0.4,-0.4,0.0,293.15,8.564156403229196e-06,2.6688696927099106e-05,-3.271650212914274e-05,2.241942955518091e-06,4.329093782454413e-05
/mnt/d/work/002_cae/openfoam/20260505_datadoka/sample/101_0_openfoam_cht_radiation_box,10,10.0,128,293.14986,293.20226,293.149889502401,293.18482087740875,-0.4,-0.4,0.0,293.15,1.7187773402740546e-05,5.3118631672998124e-05,-6.494505907755406e-05,4.364021955122724e-06,8.597190398311065e-05
/mnt/d/work/002_cae/openfoam/20260505_datadoka/sample/101_0_openfoam_cht_radiation_box,15,15.0,128,293.14979,293.22632,293.1498346756427,293.20119267129513,-0.4,-0.4,0.0,293.15,2.5846348356400888e-05,7.930129764181861e-05,-9.675211249408963e-05,6.374925234127419e-06,0.00012810911316725218
/mnt/d/work/002_cae/openfoam/20260505_datadoka/sample/101_0_openfoam_cht_radiation_box,20,20.0,128,293.14973,293.24916,293.1497849355053,293.21693711917806,-0.4,-0.4,0.0,293.15,3.454011651575406e-05,0.00010522563557035733,-0.00012809080960410007,8.285530772959295e-06,0.00016966400772317887
/mnt/d/work/002_cae/openfoam/20260505_datadoka/sample/101_0_openfoam_cht_radiation_box,25,25.0,128,293.14967,293.27084,293.1497391780438,293.2320730526177,-0.4,-0.4,0.0,293.15,4.327310340087871e-05,0.0001308977491352356,-0.0001589697650747505,1.0078433576391364e-05,0.00021063908348599024
/mnt/d/work/002_cae/openfoam/20260505_datadoka/sample/101_0_openfoam_cht_radiation_box,30,30.0,128,293.14961,293.29146,293.14969342058214,293.2466448687403,-0.4,-0.4,0.0,293.15,5.202947033007301e-05,0.00015630590847424565,-0.00018938281165650441,1.1768055997096869e-05,0.00025103034052151356
/mnt/d/work/002_cae/openfoam/20260505_datadoka/sample/101_0_openfoam_cht_radiation_box,35,35.0,128,293.14955,293.31107,293.1496507150931,293.2606746837546,-0.4,-0.4,0.0,293.15,6.080980729871917e-05,0.00018145660155211525,-0.00021934394035505719,1.3354471356371553e-05,0.0002908537497385183
/mnt/d/work/002_cae/openfoam/20260505_datadoka/sample/101_0_openfoam_cht_radiation_box,40,40.0,128,293.1495,293.32976,293.14961699227985,293.2741947599241,-0.4,-0.4,0.0,293.15,6.96108927783242e-05,0.00020634841595692054,-0.00024884241244703273,1.4837554160199725e-05,0.00033010002910461504
/mnt/d/work/002_cae/openfoam/20260505_datadoka/sample/101_0_openfoam_cht_radiation_box,45,45.0,128,293.14944,293.34757,293.14958539073587,293.2872275055675,-0.4,-0.4,0.0,293.15,7.843339787925049e-05,0.00023097803604365787,-0.0002778739558432011,1.6208859762820933e-05,0.00036876021355954975
/mnt/d/work/002_cae/openfoam/20260505_datadoka/sample/101_0_openfoam_cht_radiation_box,50,50.0,128,293.14939,293.36457,293.14955777186765,293.2998027559758,-0.4,-0.4,0.0,293.15,8.726364354677984e-05,0.0002553462551196853,-0.0003064561595361623,1.7494193067074313e-05,0.0004068621298934967
/mnt/d/work/002_cae/openfoam/20260505_datadoka/sample/101_0_openfoam_cht_radiation_box,55,55.0,128,293.14934,293.38081,293.1495422742687,293.31194220784676,-0.4,-0.4,0.0,293.15,9.611002396858601e-05,0.00027945790029939606,-0.00033457314020766645,1.867222926393121e-05,0.0004443856936783979
/mnt/d/work/002_cae/openfoam/20260505_datadoka/sample/101_0_openfoam_cht_radiation_box,60,60.0,128,293.14929,293.39634,293.1495298286422,293.32367013090544,-0.4,-0.4,0.0,293.15,0.00010497186722265626,0.0003033195309886668,-0.00036224668923128477,1.9964782287695652e-05,0.00048135766656897864
/mnt/d/work/002_cae/openfoam/20260505_datadoka/sample/101_0_openfoam_cht_radiation_box,65,65.0,128,293.14924,293.41121,293.14951631473724,293.33500736417386,-0.4,-0.4,0.0,293.15,0.00011383482102858519,0.0003269179440918333,-0.0003894678985223309,2.1241170813388328e-05,0.0005177656630199904
/mnt/d/work/002_cae/openfoam/20260505_datadoka/sample/101_0_openfoam_cht_radiation_box,70,70.0,128,293.14919,293.42545,293.1495066191677,293.34597018483873,-0.4,-0.4,0.0,293.15,0.00012271171419831487,0.00035026753791705695,-0.00041624604593634994,2.2458090354902475e-05,0.0005536270561001888
/mnt/d/work/002_cae/openfoam/20260505_datadoka/sample/101_0_openfoam_cht_radiation_box,75,75.0,128,293.14914,293.43912,293.14948766967274,293.3565870049494,-0.4,-0.4,0.0,293.15,0.00013159082623169895,0.00037337344542622724,-0.00044259006736513536,2.362067290459778e-05,0.0005889524743272264
/mnt/d/work/002_cae/openfoam/20260505_datadoka/sample/101_0_openfoam_cht_radiation_box,80,80.0,128,293.14909,293.45223,293.1494763683251,293.36686652866524,-0.4,-0.4,0.0,293.15,0.0001404791607935758,0.0003962343495720556,-0.0004685070426628474,2.472422551953131e-05,0.000623749297854976
/mnt/d/work/002_cae/openfoam/20260505_datadoka/sample/101_0_openfoam_cht_radiation_box,85,85.0,128,293.14905,293.46484,293.149466653711,293.3768290294421,-0.4,-0.4,0.0,293.15,0.00014937054597557547,0.0004188446395903563,-0.0004939733153962408,2.576816841292197e-05,0.0006579933859047215
/mnt/d/work/002_cae/openfoam/20260505_datadoka/sample/101_0_openfoam_cht_radiation_box,90,90.0,128,293.14901,293.47696,293.14946469317954,293.38649421517016,-0.4,-0.4,0.0,293.15,0.00015826828573979606,0.0004412278835050144,-0.0005190379890297956,2.675815237056572e-05,0.0006917446031637861
/mnt/d/work/002_cae/openfoam/20260505_datadoka/sample/101_0_openfoam_cht_radiation_box,95,95.0,128,293.14897,293.48864,293.1494666540796,293.39587235930526,-0.4,-0.4,0.0,293.15,0.00016715981198936434,0.0004633631987386933,-0.0005436812871484319,2.769773955064894e-05,0.0007249751324845053
/mnt/d/work/002_cae/openfoam/20260505_datadoka/sample/101_0_openfoam_cht_radiation_box,100,100.0,128,293.14893,293.49989,293.1494739889619,293.4049790274135,-0.4,-0.4,0.0,293.15,0.0001760613869426832,0.0004852767515988116,-0.0005679180694346092,2.8581557570540793e-05,0.0007577119182817086
/mnt/d/work/002_cae/openfoam/20260505_datadoka/sample/101_0_openfoam_cht_radiation_box,105,105.0,128,293.1489,293.51074,293.1494818224871,293.41382306970905,-0.4,-0.4,0.0,293.15,0.0001849608932426603,0.0005069543519676084,-0.0005917468032047004,2.9405518030601173e-05,0.0007899419500545586
