time_s,rmse_all_K,rmse_obs_K,rmse_unobs_K,q_mean,q_std,h_mean,h_std,ess,truth_hot_C,ana_hot_C,anastd_hot_K,truth_mid_C,ana_mid_C,anastd_mid_K,truth_cold_C,ana_cold_C,anastd_cold_K,truth_top_C,ana_top_C,anastd_top_K,truth_core_C,ana_core_C,anastd_core_K
0,9.73817,10.4163,9.25854,1.83224,0.793913,0.522254,0.293695,60,20,31.2473,12.1305,20,28.4668,12.2442,20,29.513,12.3904,20,29.9144,11.1434,20,29.337,11.6975
20,2.02788,0.0629039,2.61747,1.67279,0.802534,0.508664,0.297499,nan,21.0753,21.107,0.239736,20.3245,21.4216,2.44081,20.0173,20.1004,0.276277,20.1747,23.756,4.65897,20.1159,22.6702,5.46482
40,0.625832,0.220707,0.787593,1.65214,0.592665,0.555638,0.289803,nan,21.7243,21.9081,0.269578,20.6282,20.0272,0.593669,20.0785,19.8263,0.245316,20.5058,20.3109,1.38024,20.357,19.148,1.21084
60,0.209005,0.140888,0.244074,1.22809,0.40525,0.561697,0.294897,nan,22.191,22.257,0.238824,20.9105,20.6685,0.307327,20.1819,19.9939,0.232449,20.8625,20.7916,0.659302,20.6358,20.2965,0.572904
80,0.0711977,0.0631164,0.07611,1.01874,0.243462,0.550092,0.300082,nan,22.572,22.5076,0.220526,21.1814,21.0572,0.16142,20.3201,20.2584,0.17011,21.2071,21.2088,0.29313,20.9205,20.8762,0.25885
100,0.0874602,0.0786542,0.0928681,1.01216,0.195315,0.517229,0.29493,nan,22.9076,22.8003,0.193215,21.4453,21.3074,0.125308,20.4857,20.4565,0.145675,21.5321,21.4611,0.172184,21.2011,21.1582,0.160753
120,0.102175,0.0512426,0.125097,1.136,0.167478,0.471364,0.290543,nan,23.2162,23.2319,0.199081,21.7044,21.5572,0.128629,20.672,20.6013,0.129949,21.8388,21.7092,0.133771,21.4751,21.3829,0.120545
140,0.151156,0.0998006,0.177314,1.07524,0.136501,0.481103,0.274409,nan,23.5072,23.3831,0.170333,21.96,21.7512,0.132207,20.8738,20.8066,0.107616,22.1304,21.9415,0.127925,21.7428,21.6202,0.104331
160,0.210164,0.144685,0.244251,1.09377,0.127187,0.491734,0.268626,nan,23.7859,23.6159,0.1484,22.2129,21.9365,0.142307,21.0871,20.9733,0.105024,22.4104,22.1479,0.139744,22.0052,21.8215,0.108669
180,0.180399,0.11076,0.214619,1.11036,0.119473,0.391797,0.247086,nan,24.0558,23.9502,0.167651,22.4637,22.2232,0.158942,21.3089,21.1932,0.103641,22.6814,22.4515,0.158629,22.2634,22.0976,0.120686
