time_s,rmse_all_K,rmse_obs_K,rmse_unobs_K,q_mean,q_std,h_mean,h_std,ess,truth_hot_C,ana_hot_C,anastd_hot_K,truth_mid_C,ana_mid_C,anastd_mid_K,truth_cold_C,ana_cold_C,anastd_cold_K,truth_top_C,ana_top_C,anastd_top_K,truth_core_C,ana_core_C,anastd_core_K
0,9.79781,9.75516,9.82615,1.97954,0.782546,0.544927,0.285519,400,20,29.6232,11.5003,20,29.3114,11.6671,20,29.8853,11.5765,20,30.5963,11.4784,20,29.5225,11.7454
20,1.50244,0.746452,1.8414,1.70309,0.118668,0.836364,0.0311035,1.02262,21.0753,20.3242,0.299553,20.3245,21.0336,0.374712,20.0173,20.759,0.363031,20.1747,22.6245,0.359493,20.1159,22.0311,0.543409
40,0.925388,0.581221,1.09637,1.6917,0.0191627,0.837584,0.00397848,13.4194,21.7243,22.4459,0.309562,20.6282,21.3375,0.329266,20.0785,20.4722,0.318239,20.5058,21.8262,0.331883,20.357,21.523,0.327972
60,0.704779,0.746202,0.675755,1.68448,0.0224125,0.836471,0.00743642,19.4736,22.191,23.2351,0.324862,20.9105,21.4037,0.336736,20.1819,20.3356,0.350794,20.8625,21.6527,0.3318,20.6358,21.3445,0.352492
80,0.510703,0.66726,0.37131,1.6774,0.0219687,0.837605,0.0071512,15.3735,22.572,23.5049,0.316213,21.1814,21.4403,0.29341,20.3201,20.462,0.390582,21.2071,21.6672,0.338596,20.9205,21.2877,0.336652
100,0.411597,0.600468,0.204886,1.66879,0.0269789,0.837207,0.00850897,46.5321,22.9076,23.7417,0.316175,21.4453,21.6349,0.312196,20.4857,20.645,0.395748,21.5321,21.7577,0.338935,21.2011,21.3987,0.365172
120,0.337937,0.527245,0.0707833,1.65893,0.032759,0.8373,0.00882681,155.514,23.2162,23.9612,0.361385,21.7044,21.7122,0.34206,20.672,20.704,0.393884,21.8388,21.9323,0.358195,21.4751,21.5539,0.360922
140,0.25774,0.273416,0.246737,1.63135,0.034659,0.835957,0.00886055,22.2381,23.5072,23.8936,0.379153,21.96,21.7264,0.337831,20.8738,20.8602,0.343395,22.1304,21.8596,0.382124,21.7428,21.5087,0.398394
160,0.325914,0.182815,0.393386,1.62149,0.0341858,0.836631,0.00837963,158.703,23.7859,23.9888,0.342158,22.2129,21.8528,0.331724,21.0871,20.9269,0.368294,22.4104,21.9777,0.348581,22.0052,21.6214,0.36034
180,0.338258,0.271314,0.376329,1.62184,0.0411094,0.83668,0.00933789,280.369,24.0558,24.3623,0.223595,22.4637,22.0925,0.183525,21.3089,21.0782,0.302018,22.6814,22.2649,0.211649,22.2634,21.9263,0.235385
200,0.354774,0.318608,0.376961,1.62219,0.0448645,0.836384,0.0101319,270.951,24.319,24.6643,0.194063,22.7128,22.3188,0.169802,21.5368,21.2474,0.258297,22.9456,22.5371,0.180193,22.5182,22.1954,0.194141
220,0.378799,0.34356,0.400573,1.62182,0.0489481,0.836487,0.0117424,234.502,24.5773,24.9202,0.183758,22.9606,22.524,0.159754,21.7692,21.425,0.227064,23.2045,22.7812,0.163554,22.7704,22.4364,0.175378
240,0.412055,0.358316,0.444285,1.62068,0.05344,0.836298,0.0126341,258.251,24.8317,25.1426,0.180299,23.2072,22.7119,0.151704,22.0048,21.6047,0.203556,23.4595,22.9982,0.152324,23.0205,22.6542,0.16367
260,0.456844,0.372549,0.505287,1.61902,0.0571754,0.836272,0.0132623,210.984,25.0832,25.3392,0.181881,23.4528,22.8847,0.145216,22.2427,21.7821,0.185077,23.7113,23.1919,0.145028,23.2689,22.8523,0.155131
280,0.514653,0.394983,0.580895,1.61872,0.0608421,0.836385,0.0139096,308.983,25.3325,25.5166,0.185325,23.6976,23.0447,0.140361,22.482,21.9547,0.170168,23.9607,23.3662,0.140778,23.5159,23.0336,0.148722
300,0.585061,0.430517,0.668529,1.62012,0.0637507,0.835966,0.0145415,246.264,25.5677,25.6602,0.190776,23.9417,23.1939,0.137031,22.7225,22.1207,0.157887,24.2082,23.5248,0.138625,23.7617,23.2007,0.144006
320,0.604271,0.452373,0.687128,1.66306,0.0744659,0.831709,0.0164474,89.8901,24.7437,24.3643,0.327816,23.8578,23.0451,0.333215,22.9459,22.4308,0.342493,24.2769,23.5847,0.314026,23.889,23.363,0.324245
340,0.42235,0.23425,0.510605,1.73429,0.0556098,0.821367,0.0190435,6.63169,24.3416,24.0346,0.33945,23.7971,23.2455,0.345915,23.1257,23.0014,0.375156,24.1899,23.5425,0.323666,23.8914,23.6492,0.387059
360,0.449084,0.308209,0.522301,1.72617,0.0344748,0.814793,0.0100918,96.5625,24.1195,23.697,0.32393,23.7571,23.1936,0.301857,23.2635,23.3707,0.343633,24.0768,23.4062,0.330428,23.8558,23.6296,0.352308
380,0.356179,0.24202,0.415198,1.73009,0.0324894,0.812071,0.00783296,28.1049,23.9818,23.6533,0.356233,23.7279,23.2737,0.303366,23.3665,23.4626,0.33001,23.975,23.432,0.332622,23.8137,23.6872,0.341563
400,0.532115,0.417344,0.596484,1.73321,0.0349171,0.811727,0.00885579,60.2574,23.8884,23.4573,0.330471,23.7051,22.9565,0.32696,23.4422,23.0391,0.353134,23.892,23.264,0.358014,23.7752,23.4395,0.346157
420,0.362201,0.16469,0.447848,1.72468,0.0388,0.814225,0.0075762,8.4968,23.8212,23.5904,0.340799,23.6865,23.1786,0.326209,23.4969,23.4662,0.35417,23.8266,23.2817,0.330291,23.7426,23.5262,0.328247
440,0.558832,0.420172,0.634659,1.72496,0.0439349,0.814759,0.00887827,267.585,23.771,23.2163,0.215155,23.671,22.9505,0.175669,23.5358,23.3227,0.291196,23.7755,23.0716,0.203928,23.7157,23.2756,0.217402
460,0.538764,0.412974,0.608341,1.7047,0.0454083,0.815574,0.00850599,70.5814,23.7323,23.163,0.321497,23.6576,22.9726,0.336997,23.5629,23.4329,0.334061,23.7355,23.0371,0.315583,23.6936,23.3019,0.352211
480,0.557178,0.445172,0.62072,1.69255,0.0373073,0.814044,0.00814062,38.696,23.702,23.2082,0.353343,23.6458,22.9171,0.342273,23.5812,23.1907,0.383781,23.7038,23.0466,0.375716,23.6753,23.2361,0.367896
500,0.443373,0.299059,0.517695,1.6989,0.0414983,0.80824,0.00861509,50.0374,23.6777,23.2644,0.329569,23.6352,23.0169,0.334254,23.593,23.5033,0.371602,23.6784,23.1169,0.350805,23.6597,23.3335,0.375833
520,0.47271,0.343771,0.541885,1.70318,0.039013,0.80629,0.00919298,124.598,23.6578,23.2321,0.354431,23.6255,22.9754,0.336862,23.5999,23.3651,0.374581,23.6577,23.0757,0.328347,23.6463,23.3006,0.366676
540,0.464403,0.343775,0.529776,1.71304,0.0354145,0.80492,0.00943042,131.709,23.6412,23.1992,0.358512,23.6165,22.9872,0.323482,23.6032,23.4008,0.383683,23.6404,23.0692,0.346515,23.6345,23.2885,0.376994
560,0.444282,0.315621,0.512412,1.71885,0.0313223,0.804905,0.0107886,109.355,23.6271,23.2169,0.323627,23.608,23.0015,0.34228,23.6038,23.4277,0.368128,23.6258,23.0621,0.332744,23.6239,23.3043,0.360306
580,0.644377,0.529764,0.710588,1.71971,0.0366471,0.80524,0.0121735,274.781,23.6147,22.9505,0.217976,23.5998,22.7903,0.192165,23.6025,23.256,0.306922,23.6131,22.8565,0.214052,23.6142,23.0783,0.242498
600,0.457967,0.359061,0.513427,1.71818,0.0301555,0.80559,0.0119546,13.5859,23.6038,23.1017,0.326515,23.5919,23.0196,0.323873,23.5996,23.6753,0.370434,23.6019,22.9826,0.35044,23.6051,23.3227,0.349538
