time_s,rmse_field_K,rmse_obs_K,q_mean_W,q_std_W,ess
0,7.60909,7.60909,10.2642,4.81694,nan
60,0.0426571,0.0426571,15.8316,1.09886,nan
120,0.023024,0.023024,14.7694,0.396784,nan
180,0.0560984,0.0560984,15.273,0.363256,nan
240,0.0242612,0.0242612,15.0755,0.164852,nan
300,0.00373378,0.00373378,14.9636,0.0617628,nan
360,0.00391146,0.00391146,14.9583,0.0621121,nan
420,0.00743996,0.00743996,14.9421,0.0533225,nan
480,0.00828965,0.00828965,14.938,0.0504858,nan
540,0.00605257,0.00605257,14.9466,0.0519542,nan
600,0.0106378,0.0106378,14.9264,0.0481169,nan
