sensor_count,rmse_mean_degC,rmse_std_degC,rmse_seed_42_degC,rmse_seed_43_degC,rmse_seed_44_degC
10,50.090422,0.470293,49.638558,50.577198,50.055511
20,45.669450,0.641936,45.063788,46.342365,45.602196
30,40.498269,0.503486,40.163065,41.077243,40.254500
50,30.919387,0.531129,31.313173,31.129677,30.315312
75,27.188977,0.344335,27.401974,27.373237,26.791719
100,26.297340,0.330178,26.232242,26.655219,26.004559
150,23.910184,0.096450,23.839446,23.871056,24.020049
200,22.871931,0.211853,23.104770,22.690540,22.820484
250,20.956852,0.044471,20.981174,20.905525,20.983857
300,19.816477,0.017138,19.824439,19.796807,19.828185
400,19.778723,0.075642,19.850906,19.700042,19.785222
