sensor_count,q_rmse_mean,q_rmse_std,x_rmse_mean_degC,x_rmse_std_degC,q_rmse_seed_42,q_rmse_seed_43,q_rmse_seed_44
10,40.012203,0.004190,37.932566,0.724205,40.014148,40.007395,40.015067
20,39.961421,0.017722,40.597152,0.822549,39.948803,39.981682,39.953778
30,39.972221,0.018820,37.775994,0.612232,39.978910,39.986783,39.950971
50,39.869286,0.028644,31.706585,0.394030,39.874803,39.894770,39.838284
75,39.798941,0.059685,28.036471,0.622054,39.816912,39.847575,39.732336
100,39.679083,0.032767,26.190314,0.515548,39.685280,39.708309,39.643661
150,39.867653,0.102108,25.149378,0.393637,39.783423,39.838318,39.981217
200,39.728284,0.031639,23.622241,0.227373,39.731027,39.695364,39.758463
250,39.252215,0.064171,21.045745,0.080220,39.196435,39.322346,39.237865
300,38.858694,0.031921,20.064845,0.053450,38.829594,38.853653,38.892836
400,38.811389,0.033476,19.944744,0.160670,38.812184,38.777522,38.844461
